MCU_linear_response.csvtime,Y4_sat,angle_setpoint
0.479483,3.257457,3.261298
0.480500,3.272304,3.276595
0.481640,3.288200,3.293541
0.482480,3.303047,3.307038
0.483512,3.318489,3.322484
0.484607,3.333910,3.338680
0.485779,3.349632,3.356676
0.486559,3.364155,3.368523
0.487746,3.380326,3.386069
0.488635,3.394253,3.399716
0.489537,3.409400,3.414413
0.490510,3.424546,3.428809
0.491528,3.440293,3.444256
0.492568,3.455739,3.460302
0.493482,3.470886,3.474399
0.494499,3.485732,3.489695
0.495490,3.500879,3.504992
0.496489,3.516175,3.520138
0.497515,3.531771,3.535585
0.498501,3.547068,3.551031
0.499544,3.561465,3.565878
0.500687,3.576761,3.583574
0.501560,3.592357,3.596771
0.502487,3.607054,3.611467
0.503473,3.622500,3.626614
0.504530,3.637797,3.642660
0.505514,3.653393,3.657506
0.506495,3.668390,3.672503
0.507497,3.683386,3.687799
0.508526,3.698833,3.703246
0.509473,3.713829,3.717793
0.510491,3.729126,3.733239
0.511546,3.744272,3.749285
0.512516,3.760169,3.763832
0.513463,3.774865,3.778678
0.514519,3.789862,3.794575
0.515488,3.805308,3.809421
0.516608,3.820755,3.825768
0.517558,3.835901,3.840764
0.518557,3.851197,3.855911
0.519759,3.868743,3.874356
0.520533,3.881191,3.885904
0.521619,3.896787,3.901500
0.522567,3.911633,3.916347
0.523482,3.926930,3.930893
0.524491,3.941926,3.946190
0.525618,3.957223,3.962536
0.526502,3.972669,3.977082
0.527482,3.987666,3.991929
0.528481,4.002817,4.007087
0.529502,4.018438,4.022408
0.530486,4.033458,4.037578
0.531866,4.053586,4.058306
0.532598,4.064550,4.069722
0.533582,4.080622,4.084742
0.534525,4.095042,4.099312
0.535631,4.110513,4.115684
0.536705,4.126735,4.132507
0.537526,4.140403,4.144824
0.538514,4.155724,4.159844
0.539555,4.171495,4.175766
0.540539,4.186215,4.190786
0.541652,4.201837,4.207158
0.542556,4.216857,4.221427
0.543549,4.232178,4.236448
0.544586,4.246898,4.251919
0.545507,4.262519,4.266639
0.546535,4.278591,4.281960
0.547581,4.293911,4.298182
0.548528,4.308031,4.312601
0.549505,4.323351,4.327471
0.550400,4.338222,4.341440
0.551530,4.353542,4.358563
0.552487,4.369164,4.373133
0.553563,4.384935,4.389505
0.554553,4.399955,4.404376
0.555509,4.415126,4.419246
0.556577,4.430447,4.435468
0.557604,4.445767,4.450338
